path,kind,qualname,name,action,simplifiable,lines,refs,dup_count,core_api,in_tests,reason,evidence
runner/_util.py,function,_is_truthy,_is_truthy,KEEP,否,7,14,1,False,False,规模≈7 行；引用次数≈14（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/_util.py:9; kind=function; refs≈14; lines≈7
runner/_util.py,function,_parse_json_str_list,_parse_json_str_list,KEEP,否,21,11,1,False,False,规模≈21 行；引用次数≈11（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/_util.py:18; kind=function; refs≈11; lines≈21
runner/_util.py,function,_read_json_object,_read_json_object,KEEP,否,12,13,1,False,False,规模≈12 行；引用次数≈13（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/_util.py:41; kind=function; refs≈13; lines≈12
runner/_util.py,function,_find_hf_test_parquet,_find_hf_test_parquet,KEEP,否,22,7,1,False,False,规模≈22 行；引用次数≈7（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/_util.py:56; kind=function; refs≈7; lines≈22
runner/_util.py,function,_ensure_openai_v1_base,_ensure_openai_v1_base,KEEP,否,9,12,1,False,False,规模≈9 行；引用次数≈12（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/_util.py:79; kind=function; refs≈12; lines≈9
runner/agent_client.py,class,AgentResult,AgentResult,KEEP,否,14,9,0,False,False,规模≈14 行；引用次数≈9（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/agent_client.py:14; kind=class; refs≈9; lines≈14
runner/agent_client.py,class,AgentClient,AgentClient,KEEP,否,38,7,0,False,False,规模≈38 行；引用次数≈7（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/agent_client.py:30; kind=class; refs≈7; lines≈38
runner/agent_client.py,method,AgentClient.run,run,KEEP,否,13,31,0,False,False,规模≈13 行；引用次数≈31（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/agent_client.py:42; kind=method; refs≈31; lines≈13
runner/agent_client.py,method,AgentClient.close,close,KEEP,否,13,10,0,False,False,规模≈13 行；引用次数≈10（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/agent_client.py:56; kind=method; refs≈10; lines≈13
runner/bootstrap.py,class,BootstrapSpec,BootstrapSpec,KEEP,否,17,5,0,False,False,规模≈17 行；引用次数≈5（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/bootstrap.py:23; kind=class; refs≈5; lines≈17
runner/bootstrap.py,class,BootstrapLoadResult,BootstrapLoadResult,KEEP,否,10,3,0,False,False,规模≈10 行；引用次数≈3（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/bootstrap.py:39; kind=class; refs≈3; lines≈10
runner/bootstrap.py,function,_normalize_bootstrap_applied_env_paths,_normalize_bootstrap_applied_env_paths,KEEP,否,57,2,1,False,False,规模≈57 行；引用次数≈2（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/bootstrap.py:65; kind=function; refs≈2; lines≈57
runner/bootstrap.py,function,_coerce_cmds,_coerce_cmds,KEEP,否,53,3,1,False,False,规模≈53 行；引用次数≈3（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/bootstrap.py:114; kind=function; refs≈3; lines≈53
runner/bootstrap.py,function,load_bootstrap_spec_with_diagnostics,load_bootstrap_spec_with_diagnostics,KEEP,否,110,7,0,False,False,规模≈110 行；引用次数≈7（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/bootstrap.py:174; kind=function; refs≈7; lines≈110
runner/bootstrap.py,function,load_bootstrap_spec,load_bootstrap_spec,KEEP,否,12,5,0,False,False,规模≈12 行；引用次数≈5（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/bootstrap.py:286; kind=function; refs≈5; lines≈12
runner/bootstrap.py,function,run_bootstrap,run_bootstrap,SIMPLIFY,部分,131,11,0,False,False,规模≈131 行；引用次数≈11（静态近似，可能包含注释/字符串）；可通过拆分/去重复/抽 helper 减少复杂度，但不建议完全内联,runner/bootstrap.py:312; kind=function; refs≈11; lines≈131
runner/contract_hints.py,class,ContractHints,ContractHints,KEEP,否,9,5,0,False,False,规模≈9 行；引用次数≈5（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/contract_hints.py:13; kind=class; refs≈5; lines≈9
runner/contract_hints.py,function,_extract_workflow_candidates,_extract_workflow_candidates,KEEP,否,114,2,1,False,False,规模≈114 行；引用次数≈2（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/contract_hints.py:65; kind=function; refs≈2; lines≈114
runner/contract_hints.py,function,_extract_anchors,_extract_anchors,KEEP,否,115,4,1,False,False,规模≈115 行；引用次数≈4（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/contract_hints.py:171; kind=function; refs≈4; lines≈115
runner/contract_hints.py,function,suggest_contract_hints,suggest_contract_hints,KEEP,否,139,12,0,False,False,规模≈139 行；引用次数≈12（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/contract_hints.py:289; kind=function; refs≈12; lines≈139
runner/contract_provenance.py,function,snapshot_contract_files,snapshot_contract_files,KEEP,否,65,13,0,False,False,规模≈65 行；引用次数≈13（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/contract_provenance.py:18; kind=function; refs≈13; lines≈65
runner/contract_provenance.py,function,extract_tool_written_paths,extract_tool_written_paths,KEEP,否,36,2,0,False,False,规模≈36 行；引用次数≈2（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/contract_provenance.py:79; kind=function; refs≈2; lines≈36
runner/contract_provenance.py,function,changed_paths,changed_paths,KEEP,否,24,4,0,False,False,规模≈24 行；引用次数≈4（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/contract_provenance.py:116; kind=function; refs≈4; lines≈24
runner/contract_provenance.py,function,build_contract_provenance_report,build_contract_provenance_report,KEEP,否,73,11,0,False,False,规模≈73 行；引用次数≈11（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/contract_provenance.py:142; kind=function; refs≈11; lines≈73
runner/contract_provenance.py,function,dump_provenance,dump_provenance,KEEP,否,7,9,0,False,False,规模≈7 行；引用次数≈9（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/contract_provenance.py:217; kind=function; refs≈9; lines≈7
runner/contract_repair.py,function,_read_text_tail,_read_text_tail,KEEP,否,9,22,1,False,False,规模≈9 行；引用次数≈22（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/contract_repair.py:15; kind=function; refs≈22; lines≈9
runner/contract_repair.py,function,_bootstrap_artifacts_tail,_bootstrap_artifacts_tail,KEEP,否,49,2,1,False,False,规模≈49 行；引用次数≈2（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/contract_repair.py:32; kind=function; refs≈2; lines≈49
runner/contract_repair.py,function,repair_contract,repair_contract,SIMPLIFY,部分,328,10,0,False,False,规模≈328 行；引用次数≈10（静态近似，可能包含注释/字符串）；可通过拆分/去重复/抽 helper 减少复杂度，但不建议完全内联,runner/contract_repair.py:102; kind=function; refs≈10; lines≈328
runner/env.py,function,_hf_parquet_qa_rows,_hf_parquet_qa_rows,SIMPLIFY,部分,34,2,1,False,False,规模≈34 行；引用次数≈2（静态近似，可能包含注释/字符串）；可通过拆分/去重复/抽 helper 减少复杂度，但不建议完全内联,runner/env.py:39; kind=function; refs≈2; lines≈34
runner/env.py,function,_hf_parquet_qa_question_samples,_hf_parquet_qa_question_samples,KEEP,否,43,2,1,False,False,规模≈43 行；引用次数≈2（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/env.py:75; kind=function; refs≈2; lines≈43
runner/env.py,function,_validate_rollout_samples,_validate_rollout_samples,SIMPLIFY,部分,158,9,1,False,False,规模≈158 行；引用次数≈9（静态近似，可能包含注释/字符串）；可通过拆分/去重复/抽 helper 减少复杂度，但不建议完全内联,runner/env.py:139; kind=function; refs≈9; lines≈158
runner/env.py,class,EnvSession,EnvSession,SIMPLIFY,部分,712,9,0,False,False,规模≈712 行；引用次数≈9（静态近似，可能包含注释/字符串）；可通过拆分/去重复/抽 helper 减少复杂度，但不建议完全内联,runner/env.py:286; kind=class; refs≈9; lines≈712
runner/env.py,method,EnvSession.rollout,rollout,KEEP,否,251,3,0,True,False,公共 API/关键编排点；规模≈251 行；引用次数≈3（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/env.py:327; kind=method; refs≈3; lines≈251
runner/env.py,method,EnvSession.evaluate,evaluate,KEEP,否,428,6,0,True,False,公共 API/关键编排点；规模≈428 行；引用次数≈6（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/env.py:578; kind=method; refs≈6; lines≈428
runner/env.py,function,setup,setup,KEEP,否,87,28,0,True,False,公共 API/关键编排点；规模≈87 行；引用次数≈28（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/env.py:1024; kind=function; refs≈28; lines≈87
runner/env_local.py,class,EnvHandle,EnvHandle,KEEP,否,14,19,0,False,False,规模≈14 行；引用次数≈19（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/env_local.py:37; kind=class; refs≈19; lines≈14
runner/env_local.py,class,RolloutCallResult,RolloutCallResult,KEEP,否,15,12,0,False,False,规模≈15 行；引用次数≈12（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/env_local.py:54; kind=class; refs≈12; lines≈15
runner/env_local.py,class,EvaluationCallResult,EvaluationCallResult,KEEP,否,16,12,0,False,False,规模≈16 行；引用次数≈12（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/env_local.py:72; kind=class; refs≈12; lines≈16
runner/env_local.py,class,DeployCallResult,DeployCallResult,KEEP,否,16,5,0,False,False,规模≈16 行；引用次数≈5（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/env_local.py:91; kind=class; refs≈5; lines≈16
